id,Name(한글명),MonsterHP,MinDamage,MaxDamage,AttackType,비고
100000,견습 역천사,55,30,60,CAD,
100001,하급 역천사,150,100,150,CAD,
100002,중급 역천사,200,350,500,CAD,
100003,상급 역천사,700,700,900,CAD,
100004,장로 역천사,2000,1000,1300,CAD,
100005,견습 능천사,40,40,70,LAD,
100006,하급 능천사,120,140,200,LAD,
100007,중급 능천사,180,400,550,LAD,
100008,상급 능천사,650,800,1100,LAD,
100009,장로 능천사,1900,1200,1500,LAD,
100010,우리엘,1600,1500,2000,,
100011,라파엘,5000,2000,2500,,
100012,가브리엘,7000,3000,3500,,
100013,미카엘,8000,4000,4500,,
100014,루시퍼,12000,5000,6000,,
