Id,SpawnStageLevel,HP,MinDamage,MaxDamage,AttackType,비고
120000,6,160,30,55,CAD,0
120000,7,180,40,60,CAD,0
120000,8,200,50,75,CAD,0
120000,9,300,75,100,CAD,0
120000,10,400,100,125,CAD,0
120000,11,600,125,150,CAD,0
120000,12,800,150,175,CAD,0
120000,13,1200,175,200,CAD,0
120000,14,1300,200,250,CAD,0
120000,15,1400,250,300,CAD,0
120000,16,1600,300,350,CAD,0
120000,17,2000,350,400,CAD,0
120000,18,2600,400,450,CAD,0
120000,19,3600,450,500,CAD,0
120000,20,5000,500,550,CAD,0
120000,21,6000,650,800,CAD,0
120000,22,8000,800,1000,CAD,0
120000,23,9000,900,1250,CAD,0
120000,24,10000,1000,1450,CAD,0
120001,6,144,33,61,LAD,0
120001,7,162,44,66,LAD,0
120001,8,180,55,83,LAD,0
120001,9,270,83,110,LAD,0
120001,10,360,110,138,LAD,0
120001,11,540,138,165,LAD,0
120001,12,720,165,193,LAD,0
120001,13,1080,193,220,LAD,0
120001,14,1170,220,275,LAD,0
120001,15,1260,275,330,LAD,0
120001,16,1440,330,385,LAD,0
120001,17,1800,385,440,LAD,0
120001,18,2340,440,495,LAD,0
120001,19,3240,495,550,LAD,0
120001,20,4500,550,605,LAD,0
120001,21,5400,715,880,LAD,0
120001,22,7200,880,1100,LAD,0
120001,23,8100,990,1375,LAD,0
120001,24,9000,1100,1595,LAD,0
120002,6,115,32,58,AP,0
120002,7,130,42,63,AP,0
120002,8,144,53,79,AP,0
120002,9,216,79,105,AP,0
120002,10,288,105,131,AP,0
120002,11,432,131,158,AP,0
120002,12,576,158,184,AP,0
120002,13,864,184,210,AP,0
120002,14,936,210,263,AP,0
120002,15,1008,263,315,AP,0
120002,16,1152,315,368,AP,0
120002,17,1440,368,420,AP,0
120002,18,1872,420,473,AP,0
120002,19,2592,473,525,AP,0
120002,20,3600,525,578,AP,0
120002,21,4320,683,840,AP,0
120002,22,5760,840,1050,AP,0
120002,23,6480,945,1313,AP,0
120002,24,7200,1050,1523,AP,0
120003,6,192,27,50,CAD,0
120003,7,216,36,54,CAD,0
120003,8,240,45,68,CAD,0
120003,9,360,68,90,CAD,0
120003,10,480,90,113,CAD,0
120003,11,720,113,135,CAD,0
120003,12,960,135,158,CAD,0
120003,13,1440,158,180,CAD,0
120003,14,1560,180,225,CAD,0
120003,15,1680,225,270,CAD,0
120003,16,1920,270,315,CAD,0
120003,17,2400,315,360,CAD,0
120003,18,3120,360,405,CAD,0
120003,19,4320,405,450,CAD,0
120003,20,6000,450,495,CAD,0
120003,21,7200,585,720,CAD,0
120003,22,9600,720,900,CAD,0
120003,23,10800,810,1125,CAD,0
120003,24,12000,900,1305,CAD,0
120004,6,173,30,54,LAD,0
120004,7,194,40,59,LAD,0
120004,8,216,50,74,LAD,0
120004,9,324,74,99,LAD,0
120004,10,432,99,124,LAD,0
120004,11,648,124,149,LAD,0
120004,12,864,149,173,LAD,0
120004,13,1296,173,198,LAD,0
120004,14,1404,198,248,LAD,0
120004,15,1512,248,297,LAD,0
120004,16,1728,297,347,LAD,0
120004,17,2160,347,396,LAD,0
120004,18,2808,396,446,LAD,0
120004,19,3888,446,495,LAD,0
120004,20,5400,495,545,LAD,0
120004,21,6480,644,792,LAD,0
120004,22,8640,792,990,LAD,0
120004,23,9720,891,1238,LAD,0
120004,24,10800,990,1436,LAD,0
120005,6,138,28,52,AP,0
120005,7,156,38,57,AP,0
120005,8,173,47,71,AP,0
120005,9,259,71,95,AP,0
120005,10,346,95,118,AP,0
120005,11,518,118,142,AP,0
120005,12,691,142,165,AP,0
120005,13,1037,165,189,AP,0
120005,14,1123,189,236,AP,0
120005,15,1210,236,284,AP,0
120005,16,1382,284,331,AP,0
120005,17,1728,331,378,AP,0
120005,18,2246,378,425,AP,0
120005,19,3110,425,473,AP,0
120005,20,4320,473,520,AP,0
120005,21,5184,614,756,AP,0
120005,22,6912,756,945,AP,0
120005,23,7776,851,1181,AP,0
120005,24,8640,945,1370,AP,0
120006,6,144,33,61,CAD,0
120006,7,162,44,66,CAD,0
120006,8,180,55,83,CAD,0
120006,9,270,83,110,CAD,0
120006,10,360,110,138,CAD,0
120006,11,540,138,165,CAD,0
120006,12,720,165,193,CAD,0
120006,13,1080,193,220,CAD,0
120006,14,1170,220,275,CAD,0
120006,15,1260,275,330,CAD,0
120006,16,1440,330,385,CAD,0
120006,17,1800,385,440,CAD,0
120006,18,2340,440,495,CAD,0
120006,19,3240,495,550,CAD,0
120006,20,4500,550,605,CAD,0
120006,21,5400,715,880,CAD,0
120006,22,7200,880,1100,CAD,0
120006,23,8100,990,1375,CAD,0
120006,24,9000,1100,1595,CAD,0
120007,6,130,36,67,LAD,0
120007,7,146,48,73,LAD,0
120007,8,162,61,91,LAD,0
120007,9,243,91,121,LAD,0
120007,10,324,121,151,LAD,0
120007,11,486,151,182,LAD,0
120007,12,648,182,212,LAD,0
120007,13,972,212,242,LAD,0
120007,14,1053,242,303,LAD,0
120007,15,1134,303,363,LAD,0
120007,16,1296,363,424,LAD,0
120007,17,1620,424,484,LAD,0
120007,18,2106,484,545,LAD,0
120007,19,2916,545,605,LAD,0
120007,20,4050,605,666,LAD,0
120007,21,4860,787,968,LAD,0
120007,22,6480,968,1210,LAD,0
120007,23,7290,1089,1513,LAD,0
120007,24,8100,1210,1755,LAD,0
120008,6,115,35,64,AP,0
120008,7,130,46,69,AP,0
120008,8,144,58,87,AP,0
120008,9,216,87,116,AP,0
120008,10,288,116,144,AP,0
120008,11,432,144,173,AP,0
120008,12,576,173,202,AP,0
120008,13,864,202,231,AP,0
120008,14,936,231,289,AP,0
120008,15,1008,289,347,AP,0
120008,16,1152,347,404,AP,0
120008,17,1440,404,462,AP,0
120008,18,1872,462,520,AP,0
120008,19,2592,520,578,AP,0
120008,20,3600,578,635,AP,0
120008,21,4320,751,924,AP,0
120008,22,5760,924,1155,AP,0
120008,23,6480,1040,1444,AP,0
120008,24,7200,1155,1675,AP,0
